customer_id,customer_1_name,sales_territory_emp_id,sales_territory_emp_name,sales_territory_id,sales_territory_name,customer_latitude,customer_longitude,sales_district_emp_name,sales_district_emp_id,sales_region_emp_name,sales_region_emp_id,sales_region_id,sales_division_emp_id,sales_division_emp_name,color
100191205,BUD'S CORNER,1006510,SCOTT FEHLMAN,2384,Scott Fehlman,40.858778,-81.292359,JASON SHOFFSTALL,1003918,JASON SHOFFSTALL,1003918,2382,1002752,DANA GREEN,#FF6347
694460002,CAMPESINO'S GRILL,1006510,SCOTT FEHLMAN,2384,Scott Fehlman,40.610914,-81.53503,JASON SHOFFSTALL,1003918,JASON SHOFFSTALL,1003918,2382,1002752,DANA GREEN,#FF6347
425440012,DORIDOS RESTAURANT,1001993,ANDY SMITH,4058,Andy Smith,40.321345,-79.995477,DAN SCHER,1003808,BILL HENDERSON,1004626,4209,1002752,DANA GREEN,#ADFF2F
722483770,Ohio Pie - Rocky River,1143541,CLIFFORD STENZEL,4093,CJ Stenzel,41.480052,-81.839483,MICHAEL SUNSERI,1012608,JASON SHOFFSTALL,1003918,2382,1002752,DANA GREEN,#FF0000
100022289,SULLY'S IRISH PUB,1143541,CLIFFORD STENZEL,4093,CJ Stenzel,41.139179,-81.864665,MICHAEL SUNSERI,1012608,JASON SHOFFSTALL,1003918,2382,1002752,DANA GREEN,#FF0000
722588297,Leonoro's Restaurant,1144127,AARON SIMMONS,4187,Aaron Simmons,38.343201,-81.62227,CJ MORRIS,1151728,BILL HENDERSON,1004626,4209,1002752,DANA GREEN,#7F00FF
100059231,BECCARIS FARM MARKET,1144442,BRIAN MERWIN,4213,Brian Merwin,40.37396,-80.133134,DAN SCHER,1003808,BILL HENDERSON,1004626,4209,1002752,DANA GREEN,#ADFF2F
100102772,Charm Pizza Co,1006510,SCOTT FEHLMAN,2384,Scott Fehlman,40.506777,-81.784224,JASON SHOFFSTALL,1003918,JASON SHOFFSTALL,1003918,2382,1002752,DANA GREEN,#FF6347
100272150,ANCHOR HOAGIES,1132417,MIKE PERRUCCI,4214,Mike Perrucci,40.364322,-79.774389,BILLY BLATT,1128843,BILL HENDERSON,1004626,4209,1002752,DANA GREEN,#FF3030
722364295,Adams Flying Pig Coffee House,1003551,DAVE JENKINS,4191,Dave Jenkins,38.713556,-82.856231,CJ MORRIS,1151728,BILL HENDERSON,1004626,4209,1002752,DANA GREEN,#D2691E
