,sales_territory_id,customer_id,customer_longitude,customer_latitude
15,3059.0,722495251.0,-86.409015,32.590182
16,3059.0,722555429.0,-86.92877,33.392493
17,3059.0,722562447.0,-87.782997,33.93186
18,3059.0,100173093.0,-87.119902,33.117593
19,3059.0,100172838.0,-88.288659,32.492581
20,3059.0,100173334.0,-87.88368,32.839889
21,3059.0,100172749.0,-87.086566,33.27797
22,3059.0,100173597.0,-87.568009,33.237486
23,3059.0,100173682.0,-87.164201,33.214517
24,3059.0,100173484.0,-87.556618,33.197073
25,3059.0,722370751.0,-87.026307,33.307631
26,3059.0,722553844.0,-87.77677,33.988352
27,3059.0,722322937.0,-86.614574,33.180545
28,3059.0,722506682.0,-86.981053,33.33016
29,3059.0,722597220.0,-87.710551,33.397798
30,3059.0,100173143.0,-87.125482,33.224538
31,3059.0,100172940.0,-87.512552,33.250824
32,3059.0,100237115.0,-87.809966,32.817144
